Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2015-11-02,207.97325134277344,208.34161801139768,204.8096691555711,205.63305913520887,7222044
2015-11-03,209.5767059326172,210.28093759040976,208.28744431547034,208.72081430538807,11373522
2015-11-04,206.1314239501953,211.26684592869807,205.02633845443683,209.75005822789018,10033187
2015-11-05,202.94615173339844,206.066397894139,202.16609742544742,205.6330279610692,10767454
2015-11-06,206.36976623535156,206.8789733878841,203.22785222431574,203.56370272069833,8367190
2015-11-09,208.28744506835938,209.10000114598085,200.09677971180125,202.27446355739764,17031699
2015-11-10,199.9451141357422,207.90825372894778,198.54749910579127,207.36654483171014,11486238
2015-11-13,202.1769256591797,203.3686820934482,198.15743808454164,198.27661083507493,13682323
2015-11-16,202.4477996826172,204.1162618048777,200.37846924544863,200.64933090616046,15346549
2015-11-17,201.02850341796875,203.444532567793,200.69265291728763,203.26035648677433,8588142
2015-11-18,197.61573791503906,201.79773396818385,197.17153408830822,200.99599740979772,11249222
2015-11-19,202.5452880859375,203.4011940849081,198.7533263978005,199.11085913202984,12183206
2015-11-20,205.1671600341797,206.45643596971328,200.55179403088277,202.38277877631685,11304265
2015-11-23,206.6622772216797,207.56151875272354,205.02631692564594,205.84972124928316,10499517
2015-11-24,209.6850128173828,210.53008489199325,206.07722736726578,206.499763404571,14806176
2015-11-26,214.22454833984375,214.93961379970938,209.80420679653648,210.4000850367789,23805828
2015-11-27,212.14437866210938,215.058780930578,211.07179496482988,214.30037994321728,10891864
2015-11-30,209.55502319335938,213.3036639365756,208.51494107761053,212.02522183438018,29919205
2015-12-01,209.29498291015625,212.09019781164028,208.28740258641267,208.8832807789928,12981379
2015-12-02,211.9060516357422,212.28525216248792,208.99164911314452,209.37084963989025,7573628
2015-12-03,211.74351501464844,214.289550731529,211.07179956949327,211.2451417580576,11361395
2015-12-04,209.19749450683594,211.52685265735997,208.3199351489603,210.68178049773368,13443688
2015-12-07,206.29393005371094,210.83345890118747,205.7955567856769,209.1974841011743,14483909
2015-12-08,203.87789916992188,206.6297787752493,202.83781709465987,205.61136447386906,7532164
2015-12-09,198.46080017089844,204.43044555665102,197.7999185911125,202.85948852847437,9174419
2015-12-10,205.9255828857422,206.67313562618702,199.3492247966652,199.8909336640155,18592203
2015-12-11,206.48892211914062,207.79986573001435,204.311253156215,206.2289088528653,18155513
